parDenominacion,vot_parCodigo,vot_proCodigoProvincia
FRENTE DE TODOS,6,22
FRENTE DE TODOS,6,23
FRENTE DE TODOS,6,02
JUNTOS POR EL CAMBIO,5,04
FRENTE DE TODOS,6,17
FRENTE DE TODOS,6,18
FRENTE DE TODOS,6,14
FRENTE DE TODOS,6,05
JUNTOS POR EL CAMBIO,5,01
FRENTE DE TODOS,6,15
FRENTE DE TODOS,6,09
FRENTE DE TODOS,6,19
FRENTE DE TODOS,6,16
FRENTE DE TODOS,6,08
FRENTE DE TODOS,6,03
JUNTOS POR EL CAMBIO,5,13
FRENTE DE TODOS,6,21
JUNTOS POR EL CAMBIO,5,02
JUNTOS POR EL CAMBIO,5,21
JUNTOS POR EL CAMBIO,5,23
JUNTOS POR EL CAMBIO,5,05
JUNTOS POR EL CAMBIO,5,18
FRENTE DE TODOS,6,06
JUNTOS POR EL CAMBIO,5,22
JUNTOS POR EL CAMBIO,5,06
FRENTE DE TODOS,6,01
FRENTE DE TODOS,6,07
JUNTOS POR EL CAMBIO,5,08
CONSENSO FEDERAL,7,17
JUNTOS POR EL CAMBIO,5,17
FRENTE DE TODOS,6,12
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,05
JUNTOS POR EL CAMBIO,5,14
FRENTE DE TODOS,6,10
FRENTE DE TODOS,6,13
FRENTE DE TODOS,6,04
CONSENSO FEDERAL,7,02
JUNTOS POR EL CAMBIO,5,15
JUNTOS POR EL CAMBIO,5,12
JUNTOS POR EL CAMBIO,5,19
FRENTE DE TODOS,6,11
CONSENSO FEDERAL,7,06
JUNTOS POR EL CAMBIO,5,10
FRENTE DE TODOS,6,24
FRENTE DE TODOS,6,20
JUNTOS POR EL CAMBIO,5,16
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,04
JUNTOS POR EL CAMBIO,5,07
FRENTE NOS,2,22
JUNTOS POR EL CAMBIO,5,03
CONSENSO FEDERAL,7,01
CONSENSO FEDERAL,7,13
JUNTOS POR EL CAMBIO,5,11
CONSENSO FEDERAL,7,23
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,21
JUNTOS POR EL CAMBIO,5,09
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,13
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,14
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,02
FRENTE NOS,2,09
JUNTOS POR EL CAMBIO,5,20
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,09
JUNTOS POR EL CAMBIO,5,24
UNITE POR LA LIBERTAD Y LA DIGNIDAD,10,04
UNITE POR LA LIBERTAD Y LA DIGNIDAD,10,17
CONSENSO FEDERAL,7,04
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,17
FRENTE NOS,2,05
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,10
CONSENSO FEDERAL,7,12
FRENTE NOS,2,04
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,08
FRENTE NOS,2,23
CONSENSO FEDERAL,7,05
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,20
FRENTE NOS,2,02
UNITE POR LA LIBERTAD Y LA DIGNIDAD,10,02
CONSENSO FEDERAL,7,16
CONSENSO FEDERAL,7,21
FRENTE NOS,2,06
FRENTE NOS,2,21
CONSENSO FEDERAL,7,03
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,03
CONSENSO FEDERAL,7,22
CONSENSO FEDERAL,7,08
CONSENSO FEDERAL,7,07
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,24
FRENTE NOS,2,07
UNITE POR LA LIBERTAD Y LA DIGNIDAD,10,05
CONSENSO FEDERAL,7,18
CONSENSO FEDERAL,7,19
CONSENSO FEDERAL,7,15
CONSENSO FEDERAL,7,09
CONSENSO FEDERAL,7,11
CONSENSO FEDERAL,7,10
FRENTE NOS,2,14
FRENTE NOS,2,15
FRENTE NOS,2,16
CONSENSO FEDERAL,7,24
CONSENSO FEDERAL,7,20
FRENTE NOS,2,13
FRENTE NOS,2,24
UNITE POR LA LIBERTAD Y LA DIGNIDAD,10,07
CONSENSO FEDERAL,7,14
FRENTE NOS,2,18
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,07
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,15
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,01
FRENTE NOS,2,10
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,18
FRENTE NOS,2,19
FRENTE NOS,2,20
FRENTE NOS,2,08
FRENTE NOS,2,17
FRENTE NOS,2,11
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,16
UNITE POR LA LIBERTAD Y LA DIGNIDAD,10,01
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,06
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,22
UNITE POR LA LIBERTAD Y LA DIGNIDAD,10,23
UNITE POR LA LIBERTAD Y LA DIGNIDAD,10,21
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,23
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,11
UNITE POR LA LIBERTAD Y LA DIGNIDAD,10,16
UNITE POR LA LIBERTAD Y LA DIGNIDAD,10,08
UNITE POR LA LIBERTAD Y LA DIGNIDAD,10,10
UNITE POR LA LIBERTAD Y LA DIGNIDAD,10,15
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,19
UNITE POR LA LIBERTAD Y LA DIGNIDAD,10,19
UNITE POR LA LIBERTAD Y LA DIGNIDAD,10,13
UNITE POR LA LIBERTAD Y LA DIGNIDAD,10,18
FRENTE NOS,2,01
UNITE POR LA LIBERTAD Y LA DIGNIDAD,10,06
UNITE POR LA LIBERTAD Y LA DIGNIDAD,10,14
UNITE POR LA LIBERTAD Y LA DIGNIDAD,10,20
UNITE POR LA LIBERTAD Y LA DIGNIDAD,10,24
UNITE POR LA LIBERTAD Y LA DIGNIDAD,10,11
UNITE POR LA LIBERTAD Y LA DIGNIDAD,10,03
UNITE POR LA LIBERTAD Y LA DIGNIDAD,10,09
UNITE POR LA LIBERTAD Y LA DIGNIDAD,10,12
UNITE POR LA LIBERTAD Y LA DIGNIDAD,10,22
FRENTE NOS,2,03
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4,12
FRENTE NOS,2,12
MOVIMIENTO AL SOCIALISMO,1,01
FRENTE PATRIOTA,3,01
PARTIDO AUTONOMISTA,8,01
MOVIMIENTO DE ACCION VECINAL,9,01
MOVIMIENTO AL SOCIALISMO,1,02
FRENTE PATRIOTA,3,02
PARTIDO AUTONOMISTA,8,02
MOVIMIENTO DE ACCION VECINAL,9,02
MOVIMIENTO AL SOCIALISMO,1,03
FRENTE PATRIOTA,3,03
PARTIDO AUTONOMISTA,8,03
MOVIMIENTO DE ACCION VECINAL,9,03
MOVIMIENTO AL SOCIALISMO,1,04
FRENTE PATRIOTA,3,04
PARTIDO AUTONOMISTA,8,04
MOVIMIENTO DE ACCION VECINAL,9,04
MOVIMIENTO AL SOCIALISMO,1,05
FRENTE PATRIOTA,3,05
PARTIDO AUTONOMISTA,8,05
MOVIMIENTO DE ACCION VECINAL,9,05
MOVIMIENTO AL SOCIALISMO,1,06
FRENTE PATRIOTA,3,06
PARTIDO AUTONOMISTA,8,06
MOVIMIENTO DE ACCION VECINAL,9,06
MOVIMIENTO AL SOCIALISMO,1,07
FRENTE PATRIOTA,3,07
PARTIDO AUTONOMISTA,8,07
MOVIMIENTO DE ACCION VECINAL,9,07
MOVIMIENTO AL SOCIALISMO,1,08
FRENTE PATRIOTA,3,08
PARTIDO AUTONOMISTA,8,08
MOVIMIENTO DE ACCION VECINAL,9,08
MOVIMIENTO AL SOCIALISMO,1,09
FRENTE PATRIOTA,3,09
PARTIDO AUTONOMISTA,8,09
MOVIMIENTO DE ACCION VECINAL,9,09
MOVIMIENTO AL SOCIALISMO,1,10
FRENTE PATRIOTA,3,10
PARTIDO AUTONOMISTA,8,10
MOVIMIENTO DE ACCION VECINAL,9,10
MOVIMIENTO AL SOCIALISMO,1,11
FRENTE PATRIOTA,3,11
PARTIDO AUTONOMISTA,8,11
MOVIMIENTO DE ACCION VECINAL,9,11
MOVIMIENTO AL SOCIALISMO,1,12
FRENTE PATRIOTA,3,12
PARTIDO AUTONOMISTA,8,12
MOVIMIENTO DE ACCION VECINAL,9,12
MOVIMIENTO AL SOCIALISMO,1,13
FRENTE PATRIOTA,3,13
PARTIDO AUTONOMISTA,8,13
MOVIMIENTO DE ACCION VECINAL,9,13
MOVIMIENTO AL SOCIALISMO,1,14
FRENTE PATRIOTA,3,14
PARTIDO AUTONOMISTA,8,14
MOVIMIENTO DE ACCION VECINAL,9,14
MOVIMIENTO AL SOCIALISMO,1,15
FRENTE PATRIOTA,3,15
PARTIDO AUTONOMISTA,8,15
MOVIMIENTO DE ACCION VECINAL,9,15
MOVIMIENTO AL SOCIALISMO,1,16
FRENTE PATRIOTA,3,16
PARTIDO AUTONOMISTA,8,16
MOVIMIENTO DE ACCION VECINAL,9,16
MOVIMIENTO AL SOCIALISMO,1,17
FRENTE PATRIOTA,3,17
PARTIDO AUTONOMISTA,8,17
MOVIMIENTO DE ACCION VECINAL,9,17
MOVIMIENTO AL SOCIALISMO,1,18
FRENTE PATRIOTA,3,18
PARTIDO AUTONOMISTA,8,18
MOVIMIENTO DE ACCION VECINAL,9,18
MOVIMIENTO AL SOCIALISMO,1,19
FRENTE PATRIOTA,3,19
PARTIDO AUTONOMISTA,8,19
MOVIMIENTO DE ACCION VECINAL,9,19
MOVIMIENTO AL SOCIALISMO,1,20
FRENTE PATRIOTA,3,20
PARTIDO AUTONOMISTA,8,20
MOVIMIENTO DE ACCION VECINAL,9,20
MOVIMIENTO AL SOCIALISMO,1,21
FRENTE PATRIOTA,3,21
PARTIDO AUTONOMISTA,8,21
MOVIMIENTO DE ACCION VECINAL,9,21
MOVIMIENTO AL SOCIALISMO,1,22
FRENTE PATRIOTA,3,22
PARTIDO AUTONOMISTA,8,22
MOVIMIENTO DE ACCION VECINAL,9,22
MOVIMIENTO AL SOCIALISMO,1,23
FRENTE PATRIOTA,3,23
PARTIDO AUTONOMISTA,8,23
MOVIMIENTO DE ACCION VECINAL,9,23
MOVIMIENTO AL SOCIALISMO,1,24
FRENTE PATRIOTA,3,24
PARTIDO AUTONOMISTA,8,24
MOVIMIENTO DE ACCION VECINAL,9,24
